Potential (V),Current (µA)
0.568,-5.8333335
0.569,-5.0
0.57,-4.1666665
0.571,-3.3333333
0.572,-0.8333333
0.573,-0.8333333
0.574,-2.5
0.575,-5.0
0.576,-7.5
0.577,-5.8333335
0.578,-5.8333335
0.579,-4.1666665
0.58,-4.1666665
0.581,-3.3333333
0.582,-2.5
0.583,-2.5
0.584,-2.5
0.585,-2.5
0.586,-2.5
0.587,-2.5
0.588,-3.3333333
0.589,-4.1666665
0.59,-5.0
0.591,-3.3333333
0.592,-3.3333333
0.593,-3.3333333
0.594,-5.0
0.595,-4.1666665
0.596,-4.1666665
0.597,-3.3333333
0.598,-3.3333333
0.599,-2.5
0.6,-2.5
0.601,-2.5
0.602,-2.5
0.603,0.0
0.604,0.8333333
0.605,0.8333333
0.606,-2.5
0.607,-4.1666665
0.608,-4.1666665
0.609,-2.5
0.61,-1.6666666
0.611,-1.6666666
0.612,-1.6666666
0.613,-0.8333333
0.614,0.0
0.615,0.0
0.616,0.0
0.617,0.0
0.618,-0.8333333
0.619,-1.6666666
0.62,-2.5
0.621,-2.5
0.622,-1.6666666
0.623,-1.6666666
0.624,-0.8333333
0.625,-1.6666666
0.626,-1.6666666
0.627,-2.5
0.628,-2.5
0.629,-1.6666666
0.63,-2.5
0.631,-3.3333333
0.632,-4.1666665
0.633,-3.3333333
0.634,-2.5
0.635,-1.6666666
0.636,-1.6666666
0.637,-0.8333333
0.638,-2.5
0.639,-2.5
0.64,-3.3333333
0.641,-3.3333333
0.642,-2.5
0.643,-2.5
0.644,-0.8333333
0.645,-2.5
0.646,-2.5
0.647,-3.3333333
0.648,-1.6666666
0.649,-1.6666666
0.65,-0.8333333
0.651,0.0
0.652,0.8333333
0.653,0.8333333
0.654,-1.6666666
0.655,-1.6666666
0.656,-3.3333333
0.657,-1.6666666
0.658,-1.6666666
0.659,0.8333333
0.66,0.8333333
0.661,0.8333333
0.662,0.0
0.663,-0.8333333
0.664,-0.8333333
0.665,-0.8333333
0.666,0.0
0.667,0.0
0.668,0.0
0.669,0.0
0.67,0.0
0.671,0.0
0.672,0.0
0.673,0.0
0.674,0.0
0.675,0.0
0.676,-0.8333333
0.677,-0.8333333
0.678,-0.8333333
0.679,0.0
0.68,0.0
0.681,0.0
0.682,-0.8333333
0.683,-0.8333333
0.684,-2.5
0.685,-1.6666666
0.686,0.0
0.687,1.6666666
0.688,1.6666666
0.689,0.0
0.69,1.6666666
0.691,1.6666666
0.692,0.8333333
0.693,-0.8333333
0.694,-1.6666666
0.695,-1.6666666
0.696,-1.6666666
0.697,-0.8333333
0.698,0.0
0.699,0.0
0.7,0.0
0.701,0.0
0.702,0.0
0.703,0.0
0.704,0.0
0.705,0.8333333
0.706,0.8333333
0.707,1.6666666
0.708,0.8333333
0.709,0.8333333
0.71,-0.8333333
0.711,-0.8333333
0.712,-0.8333333
0.713,0.0
0.714,0.0
0.715,-0.8333333
0.716,0.0
0.717,0.8333333
0.718,1.6666666
0.719,1.6666666
0.72,0.8333333
0.721,0.8333333
0.722,0.0
0.723,0.0
0.724,0.0
0.725,1.6666666
0.726,1.6666666
0.727,1.6666666
0.728,0.0
0.729,0.8333333
0.73,0.8333333
0.731,0.8333333
0.732,0.0
0.733,0.8333333
0.734,0.8333333
0.735,1.6666666
0.736,0.8333333
0.737,2.5
0.738,1.6666666
0.739,2.5
0.74,0.8333333
0.741,0.8333333
0.742,0.0
0.743,0.8333333
0.744,0.8333333
0.745,0.8333333
0.746,0.0
0.747,0.0
0.748,0.8333333
0.749,1.6666666
0.75,2.5
0.751,1.6666666
0.752,1.6666666
0.753,0.8333333
0.754,0.8333333
0.755,0.8333333
0.756,1.6666666
0.757,1.6666666
0.758,1.6666666
0.759,1.6666666
0.76,1.6666666
0.761,0.8333333
0.762,0.0
0.763,0.0
0.764,0.8333333
0.765,2.5
0.766,3.3333333
0.767,2.5
0.768,1.6666666
0.769,0.8333333
0.77,0.8333333
0.771,0.0
0.772,0.8333333
0.773,0.8333333
0.774,1.6666666
0.775,1.6666666
0.776,2.5
0.777,1.6666666
0.778,1.6666666
0.779,1.6666666
0.78,2.5
0.781,2.5
0.782,2.5
0.783,1.6666666
0.784,1.6666666
0.785,0.8333333
0.786,2.5
0.787,2.5
0.788,3.3333333
0.789,2.5
0.79,1.6666666
0.791,1.6666666
0.792,1.6666666
0.793,2.5
0.794,1.6666666
0.795,1.6666666
0.796,0.8333333
0.797,1.6666666
0.798,1.6666666
0.799,5.0
0.8,5.8333335
0.801,5.8333335
0.802,3.3333333
0.803,2.5
0.804,2.5
0.805,3.3333333
0.806,2.5
0.807,2.5
0.808,1.6666666
0.809,2.5
0.81,2.5
0.811,3.3333333
0.812,3.3333333
0.813,4.1666665
0.814,3.3333333
0.815,3.3333333
0.816,2.5
0.817,0.8333333
0.818,0.0
0.819,0.8333333
0.82,1.6666666
0.821,1.6666666
0.822,0.0
0.823,0.8333333
0.824,0.8333333
0.825,1.6666666
0.826,2.5
0.827,3.3333333
0.828,3.3333333
0.829,2.5
0.83,2.5
0.831,3.3333333
0.832,3.3333333
0.833,3.3333333
0.834,4.1666665
0.835,3.3333333
0.836,3.3333333
0.837,1.6666666
0.838,3.3333333
0.839,4.1666665
0.84,4.1666665
0.841,4.1666665
0.842,4.1666665
0.843,4.1666665
0.844,2.5
0.845,1.6666666
0.846,1.6666666
0.847,3.3333333
0.848,2.5
0.849,5.8333335
0.85,4.1666665
0.851,5.0
0.852,2.5
0.853,6.6666665
0.854,6.6666665
0.855,5.8333335
0.856,2.5
0.857,1.6666666
0.858,0.8333333
0.859,0.0
0.86,0.0
0.861,0.8333333
0.862,1.6666666
0.863,3.3333333
0.864,2.5
0.865,2.5
0.866,2.5
0.867,2.5
0.868,1.6666666
0.869,0.8333333
0.87,0.8333333
0.871,0.8333333
0.872,0.0
0.873,0.0
0.874,2.5
0.875,2.5
0.876,3.3333333
0.877,0.8333333
0.878,1.6666666
0.879,1.6666666
0.88,2.5
0.881,1.6666666
0.882,1.6666666
0.883,1.6666666
0.884,3.3333333
0.885,3.3333333
0.886,2.5
0.887,0.8333333
0.888,0.8333333
0.889,0.8333333
0.89,1.6666666
0.891,1.6666666
0.892,2.5
0.893,3.3333333
0.894,2.5
0.895,2.5
0.896,3.3333333
0.897,4.1666665
0.898,3.3333333
0.899,2.5
0.9,1.6666666
0.901,2.5
0.902,1.6666666
0.903,1.6666666
0.904,0.0
0.905,0.8333333
0.906,1.6666666
0.907,3.3333333
0.908,1.6666666
0.909,3.3333333
0.91,3.3333333
0.911,5.0
0.912,3.3333333
0.913,3.3333333
0.914,2.5
0.915,3.3333333
0.916,2.5
0.917,1.6666666
0.918,1.6666666
0.919,3.3333333
0.92,3.3333333
0.921,3.3333333
0.922,3.3333333
0.923,4.1666665
0.924,3.3333333
0.925,3.3333333
0.926,3.3333333
0.927,2.5
0.928,2.5
0.929,1.6666666
0.93,4.1666665
0.931,2.5
0.932,3.3333333
0.933,1.6666666
0.934,1.6666666
0.935,1.6666666
0.936,1.6666666
0.937,2.5
0.938,1.6666666
0.939,1.6666666
0.94,1.6666666
0.941,2.5
0.942,2.5
0.943,1.6666666
0.944,1.6666666
0.945,1.6666666
0.946,2.5
0.947,1.6666666
0.948,0.8333333
0.949,0.0
0.95,0.8333333
0.951,0.8333333
0.952,0.8333333
0.953,0.8333333
0.954,0.8333333
0.955,1.6666666
0.956,1.6666666
0.957,2.5
0.958,2.5
0.959,2.5
0.96,2.5
0.961,3.3333333
0.962,2.5
0.963,3.3333333
0.964,3.3333333
0.965,4.1666665
0.966,2.5
0.967,2.5
0.968,2.5
0.969,4.1666665
0.97,5.8333335
0.971,5.8333335
0.972,5.0
