Potential (V),Current (µA)
0.44,57.274998
0.441,57.649998
0.442,57.983334
0.443,58.341663
0.444,58.65833
0.445,59.033337
0.446,59.358337
0.447,59.654163
0.448,59.912502
0.449,60.191666
0.45,60.516666
0.451,60.887497
0.452,61.212498
0.453,61.533337
0.454,61.8125
0.455,62.129166
0.456,62.4375
0.457,62.712498
0.458,63.004166
0.459,63.308334
0.46,63.658337
0.461,64.004166
0.462,64.299995
0.463,64.60834
0.464,64.887505
0.465,65.208336
0.466,65.479164
0.467,65.75417
0.468,65.987495
0.469,66.25833
0.47,66.54583
0.471,66.85
0.472,67.13333
0.473,67.40417
0.474,67.674995
0.475,67.887505
0.476,68.11667
0.477,68.37083
0.478,68.65833
0.479,68.950005
0.48,69.20417
0.481,69.51667
0.482,69.75833
0.483,70.0375
0.484,70.237495
0.485,70.470825
0.486,70.69166
0.487,70.9375
0.488,71.18333
0.489,71.424995
0.49,71.67083
0.491,71.925
0.492,72.17084
0.493,72.370834
0.494,72.583336
0.495,72.78333
0.496,73.0375
0.497,73.25416
0.498,73.475
0.499,73.683334
0.5,73.89166
0.501,74.075005
0.502,74.237495
0.503,74.387505
0.504,74.55417
0.505,74.729164
0.506,74.958336
0.507,75.166664
0.508,75.38334
0.509,75.5625
0.51,75.775
0.511,75.92916
0.512,76.09167
0.513,76.200005
0.514,76.4375
0.515,76.60833
0.516,76.862495
0.517,76.995834
0.518,77.183334
0.519,77.30833
0.52,77.48333
0.521,77.583336
0.522,77.691666
0.523,77.799995
0.524,77.95416
0.525,78.13333
0.526,78.299995
0.527,78.49167
0.528,78.637505
0.529,78.80833
0.53,78.88333
0.531,78.979164
0.532,79.049995
0.533,79.17917
0.534,79.32917
0.535,79.45417
0.536,79.61666
0.537,79.7875
0.538,79.9375
0.539,80.0375
0.54,80.05417
0.541,80.10417
0.542,80.229164
0.543,80.34167
0.544,80.52917
0.545,80.6375
0.546,80.77917
0.547,80.85
0.548,80.887505
0.549,80.96667
0.55,81.0375
0.551,81.14583
0.552,81.25833
0.553,81.35833
0.554,81.46667
0.555,81.55417
0.556,81.6625
0.557,81.729164
0.558,81.762505
0.559,81.81667
0.56,81.92917
0.561,82.041664
0.562,82.112495
0.563,82.2
0.564,82.32083
0.565,82.45833
0.566,82.49166
0.567,82.487495
0.568,82.487495
0.569,82.57083
0.57,82.67083
0.571,82.737495
0.572,82.8375
0.573,82.933334
0.574,83.02917
0.575,83.041664
0.576,83.04583
0.577,83.09167
0.578,83.154175
0.579,83.225006
0.58,83.325005
0.581,83.416664
0.582,83.49584
0.583,83.512505
0.584,83.54583
0.585,83.558334
0.586,83.5625
0.587,83.5875
0.588,83.67916
0.589,83.76667
0.59,83.85
0.591,83.895836
0.592,83.9625
0.593,84.00833
0.594,83.99167
0.595,84.00833
0.596,84.00833
0.597,84.104164
0.598,84.13333
0.599,84.19166
0.6,84.23333
0.601,84.275
0.602,84.31666
0.603,84.308334
0.604,84.32084
0.605,84.4
0.606,84.475
0.607,84.57917
0.608,84.6
0.609,84.63333
0.61,84.67917
0.611,84.754166
0.612,84.78333
0.613,84.80834
0.614,84.816666
0.615,84.916664
0.616,84.941666
0.617,85.00417
0.618,85.0625
0.619,85.13334
0.62,85.1875
0.621,85.166664
0.622,85.17916
0.623,85.19167
0.624,85.25
0.625,85.34167
0.626,85.40833
0.627,85.458336
0.628,85.51666
0.629,85.56667
0.63,85.59167
0.631,85.595825
0.632,85.61251
0.633,85.72083
0.634,85.76666
0.635,85.833336
0.636,85.88333
0.637,85.97083
0.638,86.05833
0.639,86.05833
0.64,86.1
0.641,86.15
0.642,86.24167
0.643,86.30833
0.644,86.37917
0.645,86.458336
0.646,86.55833
0.647,86.595825
0.648,86.666664
0.649,86.65417
0.65,86.70416
0.651,86.77917
0.652,86.85833
0.653,86.96667
0.654,87.01666
0.655,87.125
0.656,87.19584
0.657,87.26666
0.658,87.32083
0.659,87.34583
0.66,87.42501
0.661,87.49167
0.662,87.591675
0.663,87.69583
0.664,87.7875
0.665,87.87917
0.666,87.94583
0.667,88.01666
0.668,88.0625
0.669,88.137505
0.67,88.22083
0.671,88.3375
0.672,88.4125
0.673,88.549995
0.674,88.658325
0.675,88.791664
0.676,88.86666
0.677,88.958336
0.678,89.07499
0.679,89.19583
0.68,89.333336
0.681,89.4125
0.682,89.50417
0.683,89.62083
0.684,89.78333
0.685,89.87083
0.686,89.96667
0.687,90.02917
0.688,90.229164
0.689,90.35
0.69,90.479164
0.691,90.5875
0.692,90.7125
0.693,90.88333
0.694,90.95416
0.695,91.04584
0.696,91.11667
0.697,91.270836
0.698,91.424995
0.699,91.5625
0.7,91.67084
0.701,91.82083
0.702,91.950005
0.703,92.083336
0.704,92.19583
0.705,92.28333
0.706,92.4375
0.707,92.57916
0.708,92.75
0.709,92.916664
0.71,93.0625
0.711,93.237495
0.712,93.354164
0.713,93.43333
0.714,93.529175
0.715,93.65833
0.716,93.8375
0.717,94.00416
0.718,94.145836
0.719,94.30833
0.72,94.46667
0.721,94.645836
0.722,94.74583
0.723,94.862495
0.724,94.99167
0.725,95.162506
0.726,95.34583
0.727,95.52917
0.728,95.70416
0.729,95.88333
0.73,96.020836
0.731,96.1625
0.732,96.23334
0.733,96.350006
0.734,96.520836
0.735,96.69584
0.736,96.86667
0.737,97.025
0.738,97.18333
0.739,97.35
0.74,97.37917
0.741,97.46667
0.742,97.55833
0.743,97.75833
0.744,97.9375
0.745,98.075005
0.746,98.24167
0.747,98.38333
0.748,98.52917
0.749,98.62083
0.75,98.729164
0.751,98.85834
0.752,99.01666
0.753,99.17084
0.754,99.325005
0.755,99.487495
0.756,99.67083
0.757,99.80417
0.758,99.87083
0.759,99.96667
0.76,100.09167
0.761,100.26666
0.762,100.44166
0.763,100.57499
0.764,100.75833
0.765,100.850006
0.766,100.99583
0.767,101.0625
0.768,101.13749
0.769,101.24583
0.77,101.399994
0.771,101.595825
0.772,101.78333
0.773,101.958336
0.774,102.145836
0.775,102.262505
0.776,102.40417
0.777,102.44583
0.778,102.541664
0.779,102.604164
0.78,102.725006
0.781,102.779175
0.782,102.90833
0.783,103.025
0.784,103.19583
0.785,103.3125
0.786,103.41251
0.787,103.53333
0.788,103.62917
0.789,103.75833
0.79,103.85834
0.791,103.9625
0.792,104.0875
0.793,104.18333
0.794,104.287506
0.795,104.333336
0.796,104.43751
0.797,104.54584
0.798,104.654175
0.799,104.762505
0.8,104.875
0.801,105.01666
0.802,105.149994
0.803,105.24167
0.804,105.291664
0.805,105.35833
0.806,105.416664
0.807,105.533325
0.808,105.612495
0.809,105.69583
0.81,105.783325
0.811,105.833336
0.812,105.94166
0.813,105.99583
0.814,106.05833
0.815,106.12083
0.816,106.19167
0.817,106.2875
0.818,106.39166
0.819,106.520836
0.82,106.65417
0.821,106.725
0.822,106.74584
0.823,106.762505
0.824,106.80834
0.825,106.92084
0.826,107.0
0.827,107.0875
0.828,107.1875
0.829,107.25834
0.83,107.3125
0.831,107.291664
0.832,107.32083
0.833,107.354164
0.834,107.43333
0.835,107.50416
0.836,107.595825
0.837,107.69583
0.838,107.80416
0.839,107.84583
0.84,107.9125
0.841,107.90417
0.842,107.94167
0.843,107.924995
0.844,107.98751
0.845,108.00834
0.846,108.07084
0.847,108.10834
0.848,108.20416
0.849,108.24583
0.85,108.24166
0.851,108.225
0.852,108.23751
0.853,108.34167
0.854,108.38333
0.855,108.43333
0.856,108.475
0.857,108.520836
0.858,108.5875
0.859,108.541664
0.86,108.541664
0.861,108.52917
